S.N,Name:-,Contact:-,Address:-,
182,CORE Diagnostics Lucknow,8400568460,"624V/158, Kathautha Road, near Union Bank, Vijayipur, Vijaipur Village, Vishesh Khand 2, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
183,SB DIAGNOSTICS CENTER,7317700500,"CP 198, behind Singapore Mall Road, near SAMJI MANDI, Viraj Khand-4, Viraj Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
184,Atlantis Diagnostic Centre,9044044087,"1st Floor, Cyber Heights, TC/G-2/2 & TC/G-5/5, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
185,Rajeev Metro Diagnostics Centre,9455599595,"17/1, RMDC, Lucknow - Sitapur Rd, Sector 17, Chandanapur, Indira Nagar, Lucknow, Uttar Pradesh 226016"
186,Om Shree Diagnostics Center,9936238964,"3/9, Near Patrakar Puram Sai Mandir, Vinay Khand 3, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
187,Dr Saumya's Diagnostics,9453014378,"1 78, Railway Station Rd, Vivek Khand 1, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
188,DKH Diagnostics,5224046116,"2/8, Shaheed Path, Vineet Khand 2, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
189,SRL Diagnostic Gomtinagar,9696404024,"2/79, Vikrant Khand- 2, Vikrant Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
190,Icon diagnostic centre,8115370791,"10/8/1, near Arvindo Park Road, Sector 10, Indira Nagar, Lucknow, Uttar Pradesh 226016"
191,Medi Square Labs,5224008600,"1/6 Basement, near Kathauta Petrol Pump, Vinamra Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
192,Sai Diagnostic Centre,9695520000,"VX9X+XQX, Mandi Parishad Rd, opp. RML Hospital, Yadav Market, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
193,Aatreya Diagnostic Centre,9151005091,"D-2/41, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
194,Promila Diagnostic Center,9415141027,"Shanti Complex, Faizabad Rd, near Lekhraj Metro Station, Murari Nagar, Indira Nagar, Lucknow, Uttar Pradesh 226016"
195,Venus Diagnostic Center,8736823662,"V292+C2R, Indra Gandhi Pratisthan Road Back side Ram Manohar Lohiya Hospital, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
196,Soniya Diagnostic Centre,9026728491,"3/39, Vijay Khand, Vijay Khand, Near Mithaiwala Chauraha, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
197,Real Diagnostic,9415617483,"Vishal Khand 3, Vikaskhand 4, Vishal Khand - 3, Vikas Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
198,Newgen Health care center,7607070149,"Shop No 38, Jeevan Plaza Rd, Viram Khand 5, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
199,Thukral Diagnostic Centre Pvt Ltd,7887091166,"M-1/10, near Indian oil building, opposite Old RTO office, Kapoorthla, Sector B, Aliganj, Lucknow,"
200,Lord Diagnostic Centre,9999070435,"1/92, Malhaur Railway Station Road, Vikalp Khand, Chinhat, Lucknow, Uttar Pradesh 226010"
201,Atlantis Diagnostic Centre,9044044087,"1st Floor, Cyber Heights, TC/G-2/2 & TC/G-5/5, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar"
202,Park Diagnostic Centre,5222236616,"Sector 4, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
203,K FITNESS,084006 74754,"2/18, near CHANDAN HOSPITAL, Vijayant Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
204,The Beast Unisex Gym,081818 12020,"N H TOWER SECTOR-9 SECOND FLOOR, Uttar Pradesh 226016"
205,Fitness First unisex gym,078976 66668,"12/652, Jama Masjid Rd, Sector 12, Indira Nagar, Lucknow, Uttar Pradesh 226016"
206,Ultimate fitness gym & spa,098387 17866,"C-328, Block C Sant Birbal Das Chauraha, Aravali Marg, Block C, Indira Nagar, Lucknow, Uttar Pradesh 226016"
207,Chandra health club Gym,077549 21701,"L-40, Sector 14, Indira Nagar, Lucknow, Uttar Pradesh 226016"
208,Sweat & Blood Fitness Centre,093357 74729,"Manas Vihar, Plot no 38, near Mushipulia, near laxmi palace, Chandanapur, Indira Nagar, Lucknow, Uttar Pradesh 226016"
209,K FITNESS,084006 74754,"2/18, near CHANDAN HOSPITAL, Vijayant Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
210,NO DAYS OFF FITNESS,074089 60033,"JP complex, Kishori Lal chauraha, Shankarpuri Colony, Harihar Nagar, Indira Nagar, Lucknow, Uttar Pradesh 226028"
211,FAT TO FIT,076682 63541,"15/86, Nh-24a, Sector 15, Block D, Indira Nagar, Lucknow, Uttar Pradesh 226016"
212,K FITNESS,096517 86786,"Agarwal Plaza, 2/6, Aravali Marg, Block C, Indira Nagar, Lucknow, Uttar Pradesh 226016"
213,The Beast Unisex Gym,073101 01037,"Ambedkar Chauraha, Takrohi Rd, Indira Nagar, Lucknow, Uttar Pradesh 226016"
214,Fitness First unisex gym,082991 81577,"opposite Allahabad Bank, near Ambedkar Chauraha, Shivaji Puram, Takrohi, Indira Nagar, Lucknow, Uttar Pradesh 226016"
215,Ultimate fitness gym & spa,095657 63888,"656/8/p-003, maikale road, kanchana bihari marg. kalyanpur, Raj Vihar, Kalyanpur (West), Lucknow, Uttar Pradesh 226022"
216,Chandra health club Gym,082991 81577,"opposite Allahabad Bank, near Ambedkar Chauraha, Shivaji Puram, Takrohi, Indira Nagar, Lucknow, Uttar Pradesh 226016"
217,Sweat & Blood Fitness Centre,094509 70407,"B-1655, Indira Nagar Main Rd, opposite Sai Mandir, B Block, Indira Nagar, Lucknow, Uttar Pradesh 226016"
218,K FITNESS,9797788883,"1st floor, Paradise tower, Opp Pani Gaon Palace, Munshi Pulia, Indira Nagar, Lucknow, Uttar Pradesh 226016"
219,NO DAYS OFF FITNESS,086874 51945,"17/9A, Sector 17, trishul vihar, Chandanapur, Indira Nagar, Lucknow, Uttar Pradesh 226016"
220,FAT TO FIT,081818 12020,"N H TOWER SECTOR-9 SECOND FLOOR, Uttar Pradesh 226016"
221,K FITNESS,080814 41991,"Sector 8, Ismailganj, Indira Nagar, Lucknow, Uttar Pradesh 226016"
222,The Beast Unisex Gym,070075 52746,"4/604, Vijayant Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
223,Fitness First unisex gym,073095 29007,"V2C8+4FX, 1/306, Vikrant Khand -1, Vikrant Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
225,Thor The gym,096282 24428,"Chauhan plaza, Krishna Vihar Colony Faizabad Road, NH 30, near v-mart, Chinhat, Lucknow, Uttar Pradesh 227105"
226,Calibre Fitness,6393873943,"4/119, near Mantri Awas, Vibhav Khand -3, Vibhav Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
227,FIT FOR YOU,8354855568,"3 A/4, near RLB School, Sector 3-A, Sector 3, Vikas Nagar, Lucknow, Uttar Pradesh 226022"
228,Excel Gym,084000 00458,"Main Anna Market dudauli road, Sitapur Rd, Preeti Nagar, Lucknow, Uttar Pradesh 226020"
229,GM GYM,9453326595,"GM GYM, behind Sahara States, Sector D, Jankipuram, Lucknow, Uttar Pradesh 226021"
230,New Body Line Gym,098399 75436,New Body Line Gym
231,Urban Athletes.,0522 423 4007,"9/301/7, Church Rd, near K K Palace, Sector 9, Vikas Nagar, Lucknow, Uttar Pradesh 226022"
232,Fusion Fitness,089606 22200,"B-975, Narayan Prasad Marg, near Tulsi Ganga Mandap, Karmabhoomi, Sector A, Mahanagar, Lucknow, Uttar Pradesh 226006"
233,Bajrang fitness center,080901 98204,"226005, Kailashpuri, Pawanpuri, Alambagh, Lucknow, Uttar Pradesh 226005"
234,Excer's Chandrapal GYM,094157 98550,"near Brijwasi bakery, Gopal Nagar, Krishna Nagar, Alambagh, Lucknow, Uttar Pradesh 226023"
235,THE BRAWN,070073 61940,"216 vijay nagar colony, Kanpur Rd, near TECHNICAL HIGH SCHOOL, Lucknow, Uttar Pradesh 226023"
236,Bobby's Club 521,094157 97299,"RVQG+664, Block F, Rajajipuram, Lucknow, Uttar Pradesh 226017"
237,Shredzz Gym,075239 36768,"Plot no -14 & 15, near ERA medical college, Sarfarazganj, Lucknow, Uttar Pradesh 226003"
238,Fit Life GYM,097212 86629,"Near, Arya Nagar Khoya Mandi, Naka chauraha, Lucknow, Uttar Pradesh 226004"
239,Shiva Academy,098393 26421,"1st Floor , Old R.t.o Compound, Gautam Budh Marg, Latouche Rd, Lucknow, Uttar Pradesh 226018"
240,Evolution Fitness,091181 81764,"546/34P, Malihabad Rd, Satyapuram Colony, Azad Nagar, Sarfarazganj, Lucknow, Uttar Pradesh 226003"
241,Spartan unisex gym,084710 66879,"Campbell Rd, Balaganj, Lucknow, Uttar Pradesh 226017"
242,Ladies Gym - Homies Fitness Point,091406 54534,"F 3285, near Deshbharti School, Rajajipuram, Lucknow, Uttar Pradesh 226017"
243,Power Crossfit Gym,090768 14367,"548/C-140, Chandrodaya nagar, near suryanagar, crossing, Rajajipuram, Lucknow, Uttar Pradesh 226017"
244,The Dad's Gym,072380 06630,"Sneh Nagar Road, Near, VIP Rd, Alambagh, Lucknow, Uttar Pradesh 226005"
245,Ranjeet's Recreation Gym,086046 07954,"Devpur, Rajajipuram, Lucknow, Uttar Pradesh 226017"
246,Fit India Body And Health Care Center,084000 00648,"2nd Floor, Napier Plaza, Near Doodh Mandi, Hardoi Road, Napier Plaza Colony, Chowk, Lucknow, Uttar Pradesh 226003"
247,Strength World Gym,093353 22819,"Strength World Gym, Keshav Nagar, Ploice chowki, Lucknow, Uttar Pradesh 226020"
248,Bhai ka gym,090441 65741,"Nazneen Plaza, 391/26, Chhote Sahab Alam Rd, New Najaf Rustam Nagar, Katra Bizanbeg, Chowk, Lucknow, Uttar Pradesh 226003"
249,Arham's Gym,095322 22206,"1st floor, 44-B, Cantonment Rd, Near--Barlinton Chauraha, Murli Nagar, Udaiganj, Husainganj, Lucknow, Uttar Pradesh 226001"
250,FIGURE & FITNESS 24 X 7 GYM,093058 64573,"kk Complex khazana Chuaraha, Ashiyana, Lucknow, Uttar Pradesh 226012"
251,Limitless Fitness Gym,070075 69200,"Shaubhagya Complex, Sector I, Ashiyana, Lucknow, Uttar Pradesh 226012"
252,AK Fitness,072751 30630,"592K/725 khan market, Telibagh, Lucknow, Uttar Pradesh 226002"
253,Surya fitness club,090442 72314,"Vikas Ln, Gopeshkunj, Sector 6C, Neel Matha, Lucknow, Uttar Pradesh 226002"
254,Kamya Body Care,099521 64919,"QWPR+H8F, Raebareli Road, Raebareily Road, near Corporation Bank, Gandhi Nagar, Telibagh, Lucknow, Uttar Pradesh 226002"
255,Asha Oral And Dental Clinic,098895 44451,"14/903, Sector 14, Indira Nagar, Lucknow, Uttar Pradesh 226016"
256,Dr Rizvi's Dental Clinic,0522 317 4063,"Dr Rizvi's Skin & Dental Clinic ® |, 14/43, near Balaji Medical store, Sector 14, Indira Nagar, Lucknow, Uttar Pradesh 226016"
257,Shine Dental clinic-,084004 85555,"30-31Sukh Complex, Munsi Pulia, Munshi Pulia, Sector 16, Indira Nagar, Lucknow, Uttar Pradesh 226016"
258,Teethos Dental Clinic & Implant Center,088818 77999,"10/8/1, below Icon Diagnostic Centre, Sector 10, Indira Nagar, Lucknow, Uttar Pradesh 226016"
259,Shweta,088581 42944,"Parvati Palace, Munshi Pulia, Sector 16, Indira Nagar, Lucknow, Uttar Pradesh 226016"
260,Smile Dental Care,080909 40616,"Prem Plaza, Front Of Pani Ki Tanki, Sec 14, Takrohi Rd, Sector 14, Indira Nagar, Lucknow, Uttar Pradesh 226016"
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
S.N,Name:-,Contact:-,Address:-
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
322,,,
323,,,
324,,,
325,,,
326,,,
327,,,
328,,,
329,,,
330,,,
331,,,
332,,,
333,,,
334,,,
335,,,
336,,,
337,,,
338,,,
339,,,
340,,,
341,,,
342,,,
343,,,
344,,,
345,,,
346,,,
347,,,
348,,,
349,,,
350,,,
351,,,
352,,,
353,,,
354,,,
355,,,
356,,,
357,,,
358,,,
359,,,
S.N,Name:-,Contact:-,Address:-
360,,,
361,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
368,,,
369,,,
370,,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,,,
395,,,
396,,,
397,,,
398,,,
399,,,
400,,,
401,,,
402,,,
403,,,
404,,,
405,,,
406,,,
407,,,
408,,,
409,,,
410,,,
411,,,
412,,,
413,,,
414,,,
415,,,
416,,,
417,,,
418,,,
419,,,
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,,
427,,,
428,,,
429,,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
S.N,Name:-,Contact:-,Address:-
451,,,
452,,,
453,,,
454,,,
455,,,
456,,,
457,,,
458,,,
459,,,
460,,,
461,,,
462,,,
463,,,
464,,,
465,,,
466,,,
467,,,
468,,,
469,,,
470,,,
471,,,
472,,,
473,,,
474,,,
475,,,
476,,,
477,,,
478,,,
479,,,
480,,,
481,,,
482,,,
483,,,
484,,,
485,,,
486,,,
487,,,
488,,,
489,,,
490,,,
491,,,
492,,,
493,,,
494,,,
495,,,
496,,,
497,,,
498,,,
499,,,
500,,,
501,,,
S.N,Name:-,Contact:-,Address:-
S.N,Name:-,Contact:-,Address:-
S.N,Name:-,Contact:-,Address:-
S.N,Name:-,Contact:-,Address:-
S.N,Name:-,Contact:-,Address:-
